blID,INV NO,DUE DATE, INV AMT , BALANCE 
8022139010,2082794132,4/11/2019,3335,35
8022139010,2082794132,4/11/2019,3335,35
8022139010,0000000000,4/11/2019,3335,32
0000000001,0000000001,0000000000,0000000000,0000000000
0000000001,0000000001,0000000000,0000000000,0000000000
8022238450,2082830439,4/24/2019,2610,135
8022238460,2082830475,4/24/2019,1785,135
8022206360,2082881189,5/11/2019,50,50
8022273010,2082901936,5/14/2019,90,90
8021493220,2082893996,5/21/2019,50,50
8021487190,2082916727,5/22/2019,50,50
8022333340,2082903661,5/24/2019,90,90
8022333670,2082897974,5/25/2019,9258.88,9240
8021499770,2082868092,5/27/2019,150,150
8022355340,2082882960,6/3/2019,2621,2621
8022311540,2082880841,6/6/2019,2935,35
8022355340,2082947050,6/6/2019,50,50
8022266980,2082917124,6/7/2019,90,90
8022355349,2082950693,6/9/2019,50,50
6199806530,2082954952,6/19/2019,2745.7,2745.7
6204543581,2082973355,6/20/2019,441,441
8022457380,2082911711,6/20/2019,737,737
8022413860,2082931026,6/20/2019,9428,9428
8022456010,2082959079,6/23/2019,90,90
8022289070,2082920691,6/24/2019,3042.5,267.5
8022341360,2082902454,6/24/2019,1127,1127
6199806110,2082962807,6/24/2019,6150,6150
6204543580,2082981424,6/25/2019,441,441
8022498060,2082924911,6/25/2019,801,801
8022499520,2082924919,6/25/2019,801,801
8021532020,2082924926,6/25/2019,1685,1685
8022480720,2082920770,6/26/2019,2611,31
6199807240,2082968134,6/26/2019,2995.7,2995.7
6880394980,2082984372,6/26/2019,34150,34150
8022433670,2082988322,6/27/2019,30,30
8022306830,2082988330,6/27/2019,450,450
6214262700,2082976355,6/27/2019,6168.04,6168.04
6214286640,2082965928,6/28/2019,3405,3405
8022287247,2082960745,6/29/2019,731,731
8022430390,2082925096,6/29/2019,1302,1205
8022287248,2082929354,6/29/2019,1431,1431
8022287240,2082929351,6/29/2019,2131,2131
8022287249,2082929352,6/29/2019,2131,2131
6214396320,2082981107,6/29/2019,3272.02,3272.02
8022484850,2082925093,6/29/2019,3389,3389
8022461670,2082982413,6/30/2019,35,35
8022311540,2082991497,6/30/2019,50,50
8022464721,2082938090,7/1/2019,1742,1742
6199806290,2082984324,7/1/2019,2800,2800
6205377912,2082978685,7/1/2019,3405,3405
6180331420,2082964413,7/1/2019,3670.75,3670.75
6194980450,2082984619,7/1/2019,4280,4280
6199808950,2082975333,7/1/2019,6650,6650
8021539570,2082938141,7/2/2019,2127,15
8022505410,2082934153,7/2/2019,2338,2338
6214354120,2082979732,7/2/2019,3160.7,3160.7
6214357530,2082979685,7/2/2019,3160.7,3160.7
6214359470,2082979746,7/2/2019,3160.7,3160.7
6214359490,2082979684,7/2/2019,3160.7,3160.7
6214408670,2082979757,7/2/2019,3505.7,3505.7
6214353770,2082979640,7/2/2019,6321.4,6321.4
6207497940,2082974794,7/3/2019,3405,3405
6208755083,2082978918,7/3/2019,3405,3405
6208795970,2082978906,7/3/2019,3405,3405
6208755082,2082978944,7/3/2019,3455,3455
6208784552,2082978888,7/3/2019,3455,3455
6208790040,2082978980,7/3/2019,3455,3455
6208790300,2082978871,7/3/2019,3455,3455
6208784551,2082978954,7/3/2019,3505,3505
6189050440,2082979110,7/3/2019,3700,3700
6214500870,2082978885,7/3/2019,3835,3835
6208765330,2082978922,7/3/2019,6880,6880
6199599060,2082981368,7/3/2019,9503.1,9503.1
6208790060,2082978892,7/3/2019,10305,10305
6213206780,2082981367,7/3/2019,12682.8,12682.8
8022549790,2082938218,7/4/2019,640.75,34.75
8022416760,2082944117,7/4/2019,1395,1395
6212897440,2082991591,7/4/2019,2607.02,2607.02
6199347490,2082991530,7/4/2019,3022.02,3022.02
6212861730,2082991565,7/4/2019,3099.02,3099.02
6209632820,2082984421,7/4/2019,4697,4697
6212872910,2082980239,7/5/2019,2480,2480
8021539090,2082994482,7/6/2019,50,50
6214905470,2082992763,7/6/2019,2532.02,2532.02
6199809230,2082992240,7/6/2019,2679.02,2679.02
6214473060,2082992423,7/6/2019,2922.02,2922.02
6205499500,2082986742,7/6/2019,3030,3030
6208753220,2082992143,7/6/2019,3097.02,3097.02
6205452300,2082992433,7/6/2019,3099.02,3099.02
6205452180,2082992371,7/6/2019,3134.02,3134.02
6205486530,2082992401,7/6/2019,3299.02,3299.02
6208755041,2082985269,7/6/2019,3355,3355
6208790011,2082985267,7/6/2019,3355,3355
6208755050,2082985303,7/6/2019,3455,3455
6208755051,2082985277,7/6/2019,3455,3455
6208790020,2082985308,7/6/2019,3455,3455
6208790030,2082985327,7/6/2019,3455,3455
6189050220,2082985298,7/6/2019,3700,3700
6189048420,2082985302,7/6/2019,7400,7400
6210500710,2082992497,7/6/2019,9231.06,9231.06
6210509200,2082992601,7/6/2019,9231.06,9231.06
6208784550,2082985316,7/6/2019,10305,10305
8022518290,2082944121,7/7/2019,815,815
6205539302,2082989352,7/7/2019,1050,1050
6214443260,2082994772,7/7/2019,1265,1265
6205502871,2082989319,7/7/2019,1305,1305
6194975670,2082989318,7/7/2019,1311,1311
6202977760,2082988091,7/7/2019,2915,2915
6205457500,2082987997,7/7/2019,3355,3355
6214376200,2082994809,7/7/2019,3405,3405
6202975860,2082988204,7/7/2019,3480,3480
6880399060,2082987958,7/7/2019,6834,6834
6880394430,2082987920,7/7/2019,17085,17085
6199807150,2082989324,7/8/2019,1275,1275
6199807280,2082989345,7/8/2019,1475,1475
6210505580,2082991839,7/8/2019,1990,1990
6199807290,2082989349,7/8/2019,2040,2040
6207485860,2082988515,7/8/2019,2270,2270
